,Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES
85,Benzoxazole,-1.16,-2.214,c2ccc1ocnc1c2
86,Cyclopentyl-5-spirobarbituric acid,-2.349,-0.966,O=C2NC(=O)C1(CCCC1)C(=O)N2
87,Phoxim,-4.862,-4.5569999999999995,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
88,norethindrone acetate,-4.8,-4.2410000000000005,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C
89,"1,2-Diethylbenzene",-3.28,-3.6010000000000004,CCc1ccccc1CC
90,dimetan,-0.85,-2.3040000000000003,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 
91,Phenetole,-2.33,-2.66,CCOc1ccccc1
92,butallylonal,-2.647,-2.766,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O 
93,Chrysene,-8.057,-5.568,c1ccc2c(c1)ccc3c4ccccc4ccc23
94,Benzo(j)fluoranthene,-8.0,-6.007000000000001,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45
95,theobromine,-2.523,-1.05,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 
96,Carbophenthion,-5.736000000000001,-5.827999999999999,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
97,Flutriafol,-3.37,-3.569,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F
98,acetyl sulfisoxazole,-3.59,-2.024,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C 
99,Propyl acetate,-0.72,-1.125,CCCOC(=O)C
100,Fluometuron,-3.43,-3.065,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
101,"2,6-Dimethylpyridine",0.45,-2.0980000000000003,Cc1cccc(C)n1
102,Ethyl vinyl ether,-0.85,-0.857,CCOC=C
103,p-Hydroxybenzaldehyde ,-0.96,-2.003,Oc1ccc(C=O)cc1
104,acetazolamide,-2.36,-0.7929999999999999,CC(=O)Nc1nnc(s1)S(N)(=O)=O 
105,Propylcyclopentane,-4.74,-3.16,CCCC1CCCC1
106,1-Chloro-2-methylpropane,-2.0,-1.9240000000000002,ClCC(C)C
107,"5,5-Diallylbarbital",-2.077,-1.4709999999999999,O=C1NC(=O)NC(=O)C1(CC=C)CC=C
108,Butyl acetate,-1.37,-1.111,CCCCOC=O
109,Chlorbromuron,-3.924,-3.938,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
110,Flucythrinate,-6.876,-6.877999999999999,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3
111,Chlorazine,-4.4110000000000005,-3.6630000000000003,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC
112,2-Chloronapthalene,-4.14,-4.063,Clc1ccc2ccccc2c1
113,Nitromethane,0.26,-0.042,CN(=O)=O
114,Cyhalothrin,-8.176,-6.905,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
115,gentisin,-2.943,-1.2919999999999998,c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC)
116,Dialifos,-6.34,-5.026,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O
117,Diazinon,-3.64,-3.989,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
118,1-Bromopentane,-3.08,-2.658,CCCCCBr
119,glucose,0.74,0.501,OCC1OC(O)C(O)C(O)C1O
120,"1,3,5-Trichlorobenzene",-4.48,-4.159,Clc1cc(Cl)cc(Cl)c1
121,Iodofenphos,-6.62,-6.148,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
122,simazine,-4.55,-2.8110000000000004,CCNc1nc(Cl)nc(NCC)n1 
123,Isopropyl acetate,-0.55,-1.1909999999999998,CC(C)OC(=O)C
124,Dicapthon,-4.31,-4.188,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
125,"3,3-Dimethylpentane",-4.23,-2.938,CCC(C)(C)CC
126,Methoxsalen,-3.6639999999999997,-3.25,COc2c1occc1cc3ccc(=O)oc23 
127,Dibromomethane,-1.17,-1.883,BrCBr
128,Prometryn,-4.1,-3.693,CSc1nc(NC(C)C)nc(NC(C)C)n1
129,Propyl propanoate,-1.34,-1.545,CCCCC(=O)OC
130,Phorate,-4.11,-3.747,CCOP(=S)(OCC)SCSCC
131,Benzophenone,-3.12,-3.612,O=C(c1ccccc1)c2ccccc2
132,"2,3-Dimethyl-1,3-Butadiene",-2.4,-2.052,CC(=C)C(=C)C
133,"1,1,1-Trichloroethane",-2.0,-2.2319999999999998,CC(Cl)(Cl)Cl
134,Azodrin,0.6509999999999999,-0.9490000000000001,CNC(=O)C=C(C)OP(=O)(OC)OC
135,2-Methyl-2-pentanol,-0.49,-1.308,CCCC(C)(C)O
136,Caproaldehyde,-1.3,-1.4569999999999999,CCCCCC=O
137,RTI 23,-5.153,-4.228,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 
138,Nitroethane,-0.22,-0.462,CCN(=O)=O
139,o-Hydroxybenzamide,-1.82,-1.942,NC(=O)c1ccccc1O
140,Tetrafluthrin,-7.321000000000001,-6.3389999999999995,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
141,Valeraldehyde,-0.85,-1.103,CCCCC=O
142,Ipazine,-3.785,-3.497,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
143,3-Pentanol,-0.24,-0.97,CCC(O)CC
144,1-Bromo-2-methylpropane,-2.43,-2.2880000000000003,CC(C)CBr
145,Thiometon,-3.091,-3.323,CCSCCSP(=S)(OC)OC
146,Oxadiazon,-5.696000000000001,-5.265,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C
147,3-Hexanoyloxymethylphenyltoin,-5.886,-4.1530000000000005,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
148,Methyldymron,-3.35,-3.863,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2
149,Chlorobenzene,-2.38,-2.975,Clc1ccccc1
150,Dioxacarb,-1.57,-1.614,CNC(=O)Oc1ccccc1C2OCCO2
151,Fluoranthene,-6.0,-4.957,c1ccc2c(c1)c3cccc4cccc2c34
152,Menthone,-2.35,-2.516,CC(C)C1CCC(C)CC1=O
153,Propiconazole,-3.4930000000000003,-4.603,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
154,1-Hexanol,-1.24,-1.3969999999999998,CCCCCCO
155,chlorpyrifos,-5.67,-4.9719999999999995,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl 
156,Diuron,-3.8,-3.301,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
157,Octane,-5.24,-3.324,CCCCCCCC
158,"2,6-Dinitrotoluene",-3.0,-2.553,Cc1c(cccc1N(=O)=O)N(=O)=O
159,Pentachlorobenzene,-5.65,-5.167999999999999,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
160,1-Bromoheptane,-4.43,-3.366,CCCCCCCBr
161,XMC,-2.5810000000000004,-2.688,CNC(=O)Oc1cc(C)cc(C)c1
162,O-Ethyl carbamate,0.85,-0.218,CCOC(=O)N
163,butachlor,-4.19,-4.3469999999999995,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 
164,Niridazole,-3.22,-1.9480000000000002,O=C1NCCN1c2ncc(s2)N(=O)=O
165,7-methoxypteridine,-0.91,-1.589,COc2cnc1cncnc1n2
166,Acetamide,1.58,0.494,CC(=O)N
167,ethofumesate,-3.42,-3.1839999999999997,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C
168,4-Chlorotoluene,-3.08,-3.2969999999999997,Cc1ccc(Cl)cc1
169,1-Heptene,-3.73,-2.718,CCCCCC=C
170,Benzo(b)fluoranthene,-8.23,-6.007000000000001,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54
171,chloropropylate,-4.53,-5.093,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C
172,Coumachlor,-5.8389999999999995,-4.553999999999999,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O
173,Butylate,-3.68,-3.4530000000000003,CCSC(=O)N(CC(C)C)CC(C)C
174,Methyl acetate,0.46,-0.41600000000000004,COC(=O)C
175,4-Isopropyltoluene,-3.77,-3.617,CC(C)c1ccc(C)cc1
176,2-Chloropropane,-1.41,-1.585,CC(C)Cl
177,"1,8-Cineole",-1.74,-2.5789999999999997,CC12CCC(CC1)C(C)(C)O2
178,diisooctyl phthalate,-6.6370000000000005,-7.117000000000001,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1
179,megestrol acetate,-5.35,-4.417,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O 
180,Dichlorophen,-3.9530000000000003,-4.9239999999999995,Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O
181,bromoxynil,-3.33,-3.793,Oc1c(Br)cc(C#N)cc1Br 
182,"2,6-Dimethylnaphthalene ",-4.89,-4.147,Cc1ccc2cc(C)ccc2c1
183,Carvone,-2.06,-2.042,CC(=C)C1CC=C(C)C(=O)C1
184,Cholanthrene,-7.85,-5.942,C1Cc2c3c1cccc3cc4c2ccc5ccccc54
185,Inosine,-1.23,-0.8340000000000001,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23
186,benzothiazole,-1.5,-2.733,c2ccc1scnc1c2 
187,1-Nonene ,-5.05,-3.427,CCCCCCCC=C
188,"N,N-Dimethylacetamide",1.11,0.12300000000000001,CN(C)C(=O)C
189,2-Nonanone,-2.58,-2.263,CCCCCCCC(=O)C
190,Xipamide,-3.79,-3.642,Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O
191,"1,2,4,5-Tetramethylbenzene",-4.59,-3.6639999999999997,Cc1cc(C)c(C)cc1C
192,Propane,-1.94,-1.5530000000000002,CCC
193,o-Nitroaniline,-1.96,-2.2769999999999997,Nc1ccccc1N(=O)=O
194,Hexamethylbenzene,-5.23,-4.361000000000001,Cc1c(C)c(C)c(C)c(C)c1C
195,Benzo(a)fluorene,-6.68,-5.189,C1c2ccccc2c3ccc4ccccc4c13
196,Erythritol,0.7,0.675,OCC(O)C(O)CO
197,Cyclobutyl-5-spirobarbituric acid,-1.655,-0.527,O=C2NC(=O)C1(CCC1)C(=O)N2
198,N-Ethylaniline,-1.7,-2.3890000000000002,CCNc1ccccc1
199,Dienestrol,-4.95,-4.775,CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2
200,Tetrahydropyran ,-0.03,-0.978,C1CCOCC1
201,Metolcarb,-1.8030000000000002,-1.9469999999999998,c1ccccc1(OC(=O)NC)
202,Disulfiram,-4.86,-3.862,CCN(CC)C(=S)SSC(=S)N(CC)CC
203,pyracarbolid,-2.56,-2.83,CC1=C(CCCO1)C(=O)Nc2ccccc2 
204,3-Methylbutan-1-ol,-0.51,-1.0270000000000001,CC(C)CCO
205,Ethyl decanoate,-4.1,-3.6710000000000003,CCCCCCCCCC(=O)OCC
206,Ethyl formate,0.15,-0.402,CCOC=O
207,"1,4-Dibromobenzene",-4.07,-4.298,Brc1ccc(Br)cc1
208,Minoxidil,-1.989,-1.8090000000000002,Nc1cc(nc(N)n1=O)N2CCCCC2 
209,Risocaine,-2.452,-2.7089999999999996,CCCOC(=O)c1ccc(N)cc1
210,Propylene,-1.08,-1.235,CC=C
211,indazole,-2.16,-2.34,c2ccc1[nH]ncc1c2 
212,4-hydroxypyridine,1.02,-1.655,Oc1ccncc1
213,Methyl nonanoate,-3.38,-2.9619999999999997,CCCCCCCCC(=O)OC
214,1-methyluracil,-0.807,-0.375,Cn1ccc(=O)[nH]c1=O
215,trans-2-Pentene ,-2.54,-2.076,CC/C=C/C
216,p-Nitroaniline,-2.37,-1.936,Nc1ccc(cc1)N(=O)=O
217,2-butenal,0.32,-0.604,CC=CC=O
218,Benomyl,-4.883,-2.9019999999999997,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12
219,"2,6-Dichlorophenol",-1.79,-3.012,Oc1c(Cl)cccc1Cl
220,thiofanox,-1.62,-2.7,CNC(=O)ON=C(CSC)C(C)(C)C 
221,Anilofos,-4.4319999999999995,-5.106,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1
222,p-Chloroiodobenzene,-4.03,-4.3839999999999995,Clc1ccc(I)cc1
223,5-Methyl-5-ethylbarbituric acid,-1.228,-0.9109999999999999,O=C1NC(=O)NC(=O)C1(C)CC
224,Phenacetin,-2.35,-2.342,CCOc1ccc(NC(=O)C)cc1
225,"2,2',3,4,4',5',6-PCB",-7.92,-7.898,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
226,Quinethazone,-3.29,-2.184,CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O
227,Cyclopropyl-5-spirobarbituric acid,-1.886,-0.08800000000000001,O=C2NC(=O)C1(CC1)C(=O)N2 
228,Diallate,-4.2860000000000005,-3.827,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl
229,Santonin,-3.09,-2.43,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C
230,"2,4-Dimethyl-3-pentanol",-1.22,-1.6469999999999998,CC(C)C(O)C(C)C
231,2-Chloro-2-methylbutane,-2.51,-2.278,CCC(C)(C)Cl
232,methyltestosterone acetate,-5.284,-4.863,CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
233,1-Heptanol,-1.81,-1.751,CCCCCCCO
234,L-arabinose,0.39,0.601,C1OC(O)C(O)C(O)C1O
235,"2,2-Dimethylpropanol",-0.4,-1.011,CC(C)(C)CO
236,"3,4-Dimethylpyridine",0.36,-2.0669999999999997,Cc1ccncc1C
237,1-Decanol,-3.63,-2.8139999999999996,CCCCCCCCCCO
238,Isopentyl acetate,-1.92,-1.817,CC(C)CCOC(=O)C
239,Acetanilide,-1.33,-1.857,CC(=O)Nc1ccccc1
240,Siduron,-4.11,-3.779,CC1CCCCC1NC(=O)Nc2ccccc2
241,Stanolone,-4.743,-3.8819999999999997,CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O 
242,Indapamide,-3.5860000000000003,-4.345,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O 
243,2-Nitropropane,-0.62,-0.743,CC(C)N(=O)=O
244,Propylbenzene ,-3.37,-3.281,CCCc1ccccc1
245,benzhydrol,-2.55,-3.033,c1ccccc1C(O)c2ccccc2
246,Triallate,-4.88,-4.578,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl
247,p-Methylaniline ,-1.21,-1.954,Cc1ccc(N)cc1
248,9-Methylanthracene,-5.89,-4.87,Cc1c2ccccc2cc3ccccc13
249,Pentyl acetate,-1.89,-1.8330000000000002,CCCCCOC(=O)C
250,Tetrachloromethane,-2.31,-2.6069999999999998,ClC(Cl)(Cl)Cl
251,4-Methyl-2-pentanol,-0.8,-1.308,CC(C)CC(C)O
252,Benzo[ghi]perylene,-9.017999999999999,-6.446000000000001,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
253,"1,1-Dichloroethane",-1.29,-1.5759999999999998,CC(Cl)Cl
254,Decalin,-5.19,-3.715,C1CCC2CCCCC2C1
255,Iodobenzene,-3.01,-3.8,Ic1ccccc1
256,Prometon,-2.478,-3.448,COc1nc(NC(C)C)nc(NC(C)C)n1
257,Propyl butyrate,-1.92,-1.1909999999999998,CCCC(=O)OC
258,4-Bromotoluene,-3.19,-3.667,Cc1ccc(Br)cc1
259,"1,1,2,2-Tetrachloroethane",-1.74,-2.549,ClC(Cl)C(Cl)Cl
260,Diphenyl ether ,-3.96,-4.254,O(c1ccccc1)c2ccccc2
261,Heptachlor,-6.317,-5.26,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
262,"2,4-PCB",-5.25,-5.142,Clc1ccc(cc1)c2ccccc2Cl 
263,"3,4-PCB",-6.39,-5.223,Clc1ccc(cc1Cl)c2ccccc2 
264,Triazolam,-4.09,-3.948,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34
265,Isopentyl formate,-1.52,-1.449,CC(C)CCOC=O
266,dexamethasone acetate,-4.9,-3.9330000000000003,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O 
267,t-Butylbenzene ,-3.66,-3.554,CC(C)(C)c1ccccc1
268,2-Methylpentane,-3.74,-2.6,CCCC(C)C
269,Propylisopropylether,-1.34,-1.354,CCCOC(C)C
270,Morin,-3.083,-2.7310000000000003,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O 
271,Dapsone,-3.094,-2.464,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
272,osthole,-4.314,-4.0760000000000005,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O 
273,Simetryn,-2.676,-2.6889999999999996,CSc1nc(nc(n1)N(C)C)N(C)C
274,Ethyl pentanoate,-1.75,-1.899,CCCOC(=O)CCC
275,Methyl hydrazine,1.34,0.5429999999999999,CNN
276,2-Chlorobiphenyl,-4.54,-4.5280000000000005,Clc1ccccc1c2ccccc2
277,1-Bromopropane,-1.73,-1.949,CCCBr
278,Trichloromethane,-1.17,-1.8119999999999998,ClC(Cl)Cl
279,Carvacrol,-2.08,-3.2239999999999998,c1(O)c(C)ccc(C(C)C)c1
280,3-Butanoyloxymethylphenytoin,-5.071000000000001,-3.469,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
281,piperonal,-1.63,-2.033,O=Cc2ccc1OCOc1c2 
282,"2,3-Dimethylpyridine",0.38,-2.0669999999999997,Cc1cccnc1C
283,Dieldrin,-6.29,-4.533,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
284,testosterone acetate,-5.184,-4.449,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
285,Benzylchloride,-2.39,-2.887,ClCc1ccccc1
286,Salicylamide,-1.8359999999999999,-1.942,NC(=O)c1ccccc1O
287,Cortisone,-3.11,-2.8930000000000002,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
288,Isazofos,-3.658,-3.76,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C
289,Trichlomethiazide,-2.68,-2.98,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl 
290,"2,6-PCB",-5.21,-4.984,Clc1cccc(Cl)c1c2ccccc2 
291,aminopyrine,-0.364,-2.129,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O 
292,Dinoseb,-3.38,-3.715,CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O 
293,Chlorimuron-ethyl (ph 7),-4.5760000000000005,-3.719,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2
294,isocarbamid,-2.15,-1.508,C1N(C(=O)NCC(C)C)C(=O)NC1
295,Ethane,-1.36,-1.1320000000000001,CC
296,2-Ethylnaphthalene,-4.29,-4.1,CCc1ccc2ccccc2c1
297,Menadione,-3.03,-2.667,CC2=CC(=O)c1ccccc1C2=O 
298,nifuroxime,-2.19,-1.8430000000000002,ON=Cc1ccc(o1)N(=O)=O 
299,Hexane ,-3.84,-2.615,CCCCCC
300,Pyrolan,-2.09,-3.141,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
